a,b
320, -52.055252489191844
321, -38.641371898687794
322, -23.731442649661403
323, -7.782381403379986
324, 7.321859015186419
325, 16.97912558815915
326, 20.573523663179003
327, 18.992310815687233
328, 15.421447379050733
329, 21.11495982530687
330, 39.51584017605455
331, 70.0360744619611
332, 107.38955208027983
333, 139.4257045206523
334, 150.7676425912632
335, 145.9390604112341
336, 137.54834401804874
337, 126.10729080272722
338, 110.27203788940278
339, 90.83192030564715
340, 96.30778113969609
341, 134.6025581031481
342, 171.680348371101
343, 187.4631039265514
344, 189.33145879694166
345, 190.9511894250645
346, 189.98422574493452
347, 176.09777429840506
348, 149.15434750621898
349, 117.65625641943006
350, 83.88633773850961
351, 55.476059679263926
352, 41.90673654330021
353, 36.326755000905905
354, 31.956555597402257
355, 30.572869757188528
356, 34.3048307642548
357, 39.984151751770696
358, 30.426425641842798
359, 5.458860684393585
360, -5.678694991807788
361, 4.39439407154714
362, 12.054764193828305
363, 1.3871603012630658
364, -14.226082819930525
365, -18.21777413682139
366, -15.066330129446214
367, -16.148274755338207
368, -21.1591182870161
369, -24.110960119556694
370, -23.60259955446236
371, -9.587777737073338
372, 22.544226584459466
373, 46.669839408566986
374, 44.12178014866913
375, 27.824981574243793
376, 16.786103016469497
377, 7.998220408304405
378, -7.033589376598684
379, -26.71709229930275
380, -30.68402922700261
381, -16.86047041842903
382, -4.006024489957781
383, 2.241133665002053
384, 4.472041485596492
385, 3.7938446287698753
386, -2.22764768464549
387, -17.254078658883373
388, -36.740237896365215
389, -45.8891055880722
390, -45.466284402464225
391, -39.92078956389196
392, -29.838102082518162
393, -20.25926564848851
394, -12.144829001850667
395, -7.107865509246039
396, -6.091020773021228
397, -6.456588209615802
398, -5.1731246166218625
399, -0.024820784137773444
400, 14.372327841865626
401, 40.14909259363412
402, 82.06837583985362
403, 142.65948767806367
404, 195.08892454180022
405, 234.93173162877065
406, 270.0546266170095
407, 304.1844383831303
408, 337.20320761343464
409, 369.00355503973515
410, 396.1187816241909
411, 412.36308350399486
412, 418.5055313485318
413, 417.49006004624425
414, 412.4358182491269
415, 421.924682163175
416, 447.9803423458452
417, 470.7595800329
418, 483.5145991173267
419, 485.5832481505804
420, 476.55383103975873
421, 459.45732817458156
422, 437.93758179879296
423, 410.06415672066396
424, 371.5320605866691
425, 326.46486669781916
426, 292.1382905107621
427, 268.3185559674366
428, 238.6816023931333
429, 199.80521749046784
430, 153.55021805918477
431, 100.71040876262487
432, 60.054005314957976
433, 33.628041864993065
434, 15.952822658568039
435, 1.4900751270652108
436, -6.055148432658825
437, 4.843887750748763
438, 27.639993729995695
439, 27.414586441320353
440, 4.673643557156538
441, -4.774967043493234
442, 4.520581845046763
443, 6.806835976241928
444, -7.838599843273187
445, -17.271828040817127
446, -6.424243342657064
447, 10.82834326545526
448, 17.550695279791398
449, 22.294768162342734
450, 42.869254123252176
451, 72.6777162120743
452, 93.00716236526387
453, 102.148041767221
454, 100.67142988413798
455, 89.56258250686369
456, 81.70303903308195
457, 81.2571712788631
458, 83.03300513902832
459, 84.11702433275786
460, 73.72076499729337
461, 41.22818901939354
462, 1.3780894193077984
463, -20.258119690483
464, -27.60154688208604
465, -27.734943765650314
466, -21.27524315043229
467, -8.578496271771655
468, 9.875503285125887
469, 21.169445565888964
470, 21.27712543170128
471, 21.110408844799167
472, 24.973050187692934
473, 25.25516242041158
474, 16.908031201634003
475, 2.5198760208695603
476, -14.68734952138766
477, -29.169805571627876
478, -28.445923676255916
479, -15.327890900021885
480, 1.4363791587438755
481, 20.15035430131138
482, 26.93487806673511
483, 21.032560676077992
484, 13.6939018791345
485, 7.779636202387337
486, 6.17243755101299
487, 9.58496437319991
488, 21.521859746897462
489, 43.03535820851357
490, 58.70334426707632
491, 52.18248070266782
492, 31.055884475103085
493, 8.487791498986553
494, -12.228115244586661
495, -27.11324819141737
496, -36.980968255142216
497, -41.368218223280564
498, -40.76360594297148
499, -36.691696796697215
500, -29.759755742546986
501, -28.93343309568445
502, -36.47236257646546
503, -26.957635631695666
504, 13.429533016525966
505, 57.68189055232324
506, 80.3020430502147
507, 88.80584927443124
508, 92.6899817459016
509, 95.42548241339864
510, 113.32627046092966
511, 150.98186864631134
512, 220.00991980103754
513, 301.40670178316395
514, 374.6212498526438
515, 435.1897206008289
516, 468.95632629332795
517, 474.60701677650286
518, 474.007898067779
519, 473.4975001413095
520, 454.4535250162444
521, 408.1908296460406
522, 361.50971668137936
523, 333.6558437616204
524, 307.7258950554333
525, 264.75613600143333
526, 214.45876356044573
527, 173.4377557942862
528, 137.00969840858306
529, 92.65150147732311
530, 51.98602765612668
531, 21.993252223130185
532, 1.4940799479554698
533, -7.174541554375537
534, -5.1206351572873245
535, -0.519785048054473
536, 4.616180739736592
537, 3.1875941380585573
538, -7.384037621541211
539, -19.370174348094224
540, -29.445322991130524
541, -25.84626412088255
542, 1.2230203019080363
543, 30.02792600630528
544, 33.34827476452483
545, 22.104536423679747
546, 14.075156724939006
547, 9.140006842497314
548, 2.687754726228377
549, -0.14147848295033327
550, 19.94374286780112
551, 59.179713603030905
552, 81.06326902860928
553, 82.72864647223287
554, 75.15882863561092
555, 60.463173605172415
556, 38.509140815905994
557, 9.98688521186341
558, -9.828128887385901
559, -17.44528438973066
560, -16.0880846046839
561, -6.990507436310509
562, 1.037776077468152
563, 1.4886576381213672
564, -1.8068179592737579
565, -5.095359109371202
566, -8.789088683282898
567, -13.38618330886311
568, -16.285478284888086
569, -11.389216224977645
570, 0.7246101568471204
571, 17.6748094833074
572, 37.12932980100595
573, 51.20559363839311
574, 57.14960879087448
575, 44.4337658393797
576, 14.993629903679903
577, -3.091704788235802
578, -6.890871823849011
579, -5.732677307307313
580, -1.8521802009236126
581, 8.523755058753522
582, 27.391565382595218
583, 42.25839912826086
584, 47.32224161344857
585, 46.19516029701117
586, 41.28324724748927
587, 30.496688081684624
588, 11.959989962751933
589, -9.31064954545218
590, -30.77654086158327
591, -42.7678087851873
592, -27.344720828115896
593, 3.2128920028299035
594, 22.175337740156465
595, 29.58614997809127
596, 29.077377748337312
597, 22.093920486708157
598, 13.01591258447661
599, 6.5801326232467545
600, 16.199852553789242
601, 41.10522836520977
602, 58.46641048032325
603, 63.71086144613582
604, 48.712151710440594
605, 14.424864402253661
606, -5.902159104723978
607, -6.318228759218982
608, -5.282136947851541
609, -8.828718580518398
610, -3.097712784707255
611, 18.377229479712696
612, 25.706200363727476
613, 1.9077010639866785
614, -19.081051318140453
615, -15.179210366279221
616, -10.301918007371569
617, -26.081343713198294
618, -37.56605579021016
619, -15.052233349280868
620, 22.147132773790872
621, 46.2295346330302
622, 59.474986924466066
623, 70.46870877195397
624, 75.49226798410564
625, 65.9563418777525
626, 45.24457297054505
627, 23.277066336144344
628, 7.252251876934679
629, 9.67769774673252
630, 28.376812149699617
631, 51.28237106427332
632, 72.38948327532125
633, 83.32798831480795
634, 83.39916980702947
635, 75.03243111975098
636, 59.94054974126266
637, 47.796469165650706
638, 40.03241370301657
639, 31.793831789213073
640, 21.877007850345763
641, 12.228154406318936
642, 2.2358882633616304
643, -2.4722622454701195
644, 0.000842250612549833
645, 11.862686526837933
646, 34.372968007752206
647, 44.28093059685307
648, 31.606185814331184
649, 17.0323446817456
650, 11.790672864341104
651, 4.21929188095055
652, -14.529704121072427
653, -19.475601779658973
654, 8.897631335941696
655, 42.83223551619449
656, 54.792574415967465
657, 49.92111797421967
658, 33.45759617848853
659, 12.489044604639275
660, -3.3391132488523
661, -11.141127535196574
662, -5.628748398325115
663, 5.480556288144726
664, 10.39715409802011
665, 9.601751090665857
666, 5.164968120163394
667, -0.7909803149850632
668, -4.224054634685672
669, -5.374912755440164
670, -4.377508069141186
671, -1.2047032273167133
672, 4.283362098120051
673, 11.62450372785861
674, 17.644237576383603
675, 19.44530504454815
676, 8.726703424077641
677, -8.277250389897745
678, -13.459027610144403
679, -6.883221571119066
680, 7.933869906906693
681, 29.90545190767625
682, 49.439703794256275
683, 63.833146749806474
684, 65.25104201275099
685, 57.085978808116124
686, 60.11322869760443
687, 72.6570308309183
688, 71.65327039412477
689, 57.115482466299
690, 48.08510201430181
691, 45.45882727217213
692, 36.240246357321666
693, 21.727059033537444
694, 27.540851154046322
695, 53.468301566357695
696, 60.0619533523477
697, 42.866210440315626
698, 23.32528254861063
699, 5.983926251257799
700, -8.210167507399092
701, -19.27500625799439
702, -16.650338116567582
703, -0.25714427139246254
704, 4.246786294803314
705, -7.337386591738323
706, -15.841745040723254
707, -16.339790778751194
708, -2.8925131934374804
709, 26.08448912318454
710, 58.620424298002035
711, 87.3518262405396
712, 104.6849021959606
713, 108.03256517978116
714, 92.2144775011293
715, 58.108471465222465
716, 34.95026362961653
717, 33.24698822791834
718, 28.593695142730212
719, 15.612390233098267
720, 7.8016607912722975
721, 7.175354227010757
722, 2.5773456183487724
723, -8.030453921957815
724, -1.5606890167910024
725, 28.16820109852233
726, 58.62636516996281
727, 78.94582796857685
728, 87.12596245535497
729, 82.59225230302582
730, 65.89779295383596
731, 38.47064346747902
732, 16.25507965007273
733, 5.653515515521576
734, 4.977084407033544
735, 13.588124878604503
736, 27.760100009796588
737, 43.50341518373352
738, 45.90599033887156
739, 32.37910259876662
740, 21.381868378266518
741, 16.834596613825852
742, 6.053348400388131
743, -12.403743603372277
744, -26.73581200080116
745, -35.00420911461697
746, -39.520823421558816
747, -40.04995706334921
748, -27.175975130843653
749, -0.18401250127499225
750, 19.90481522311711
751, 29.17340841067744
752, 38.73939461155169
753, 48.89076500126066
754, 44.37383360420972
755, 24.714435893502014
756, 7.517645241399805
757, -3.2783987937800703
758, -9.527848346149767
759, -12.342768396001702
760, -14.048169532454267
761, -13.674283888980426
762, -3.289295955812122
763, 16.60321562786521
764, 34.592298468855006
765, 47.67418583362269
766, 57.9715269894059
767, 62.990769255597115
768, 51.32883377696089
769, 31.132538434565504
770, 41.032594252834315
771, 68.98284450316532
772, 72.42283939332447
773, 53.818279781669844
774, 32.08263405195066
775, 11.626002217546556
776, 2.2297768731677934
777, 1.9875282714947389
778, 7.067276233823577
779, 12.411100154620726
780, 4.9584213933230785
781, -7.800120845691708
782, -11.740183925461679
783, -7.171710414193512
784, 5.667672180057707
785, 23.375823873182526
786, 37.79015574374171
787, 44.89842411263089
788, 39.11007974258973
789, 31.257843571507692
790, 38.06297137983529
791, 51.933279098280764
792, 67.9928323176955
793, 77.00172540404492
794, 70.43994637019205
795, 57.53387256919814
796, 45.596558505474604
797, 33.66217761720145
798, 21.164690332223472
799, 15.733730854466558
800, 19.751009606767184
801, 20.360404194569128
802, 12.445719400702728
803, 11.373995272730099
804, 22.422781684115762
805, 31.630337085285646
806, 33.911282267652496
807, 24.558652234018155
808, 4.352585849328534
809, -2.8470100256454316
810, 6.078128050530722
811, 12.636494943693833
812, 12.684731838869993
813, 11.183623739407267
814, 10.679564635513088
815, 13.919926970263987
816, 22.878429940683418
817, 41.5795718961017
818, 63.30021694712923
819, 61.48503289760629
820, 38.82008914896869
821, 10.435317624262098
822, -15.93850306566128
823, -29.00105908189653
824, -26.49399498731873
825, -2.25771127160624
826, 29.97980774653479
827, 43.590153714432745
828, 45.79202398153757
829, 46.68688703450607
830, 36.758652549033286
831, 6.005915647980146
832, -15.153147339058705
833, -4.48671684234796
834, 13.465653190043668
835, 24.04175819282682
836, 41.453713360207985
837, 69.12007011833339
838, 82.63704490975215
839, 73.43330167214299
840, 65.63666440164525
841, 65.23398583369999
842, 51.30798340024194
843, 21.659790536441506
844, 2.9444267987400963
845, -2.8082154757266835
846, -2.245789829903515
847, 3.6192592081333714
848, 14.819749605405377
849, 30.773177513621704
850, 44.597763491907244
851, 49.80611144229806
852, 30.894981623157946
853, -0.19127924724125478
854, -18.273471349313695
855, -27.171838697362546
856, -31.87361640146628
857, -27.014854158303933
858, -5.413680000925524
859, 12.936194481288112
860, 10.10727112805398
861, 5.196492154367661
862, 10.51644908124399
863, 17.809001102557886
864, 21.983768197336758
865, 25.885063287039884
866, 30.359483121652374
867, 33.433426052743016
868, 34.293616954575555
869, 30.922039975454027
870, 23.592798773295726
871, 15.80616152678158
872, 8.263001786590394
873, 2.5521547788612224
874, -2.0223315732637275
875, -6.467843258982612
876, -10.214493704264896
877, -11.486022656374189
878, -10.524704521896638
879, -7.504256969246853
880, -0.70529331101352
881, 12.041998174134278
882, 23.526019600594736
883, 28.16194014035318
884, 21.63233400533136
885, 2.554965335120869
886, -9.416136156431094
887, -7.716584703566696
888, 9.399478964443915
889, 39.96130091075429
890, 53.05505844574691
891, 45.04337932919407
892, 27.398570643943458
893, 7.976216937240679
894, 9.261434714664574
895, 27.263410203502644
896, 46.58030394707748
897, 56.18883556387482
898, 38.204387656060135
899, 9.718743886676748
900, -7.504763828817886
901, -8.60397826084045
902, 11.101879827530865
903, 31.984081890792368
904, 40.83482618747621
905, 34.02165737436371
906, 12.437463775373544
907, 1.2238253265277308
908, 3.3492454016031843
909, 4.491569083940703
910, 5.113623597218975
911, 17.69698522213912
912, 38.19118039168279
913, 45.578227656689705
914, 48.87996306905916
915, 68.19682766892583
916, 77.40193823884874
917, 41.27144692962975
918, -0.2763546806345403
919, -13.23581051738438
920, -11.925917565904456
921, -3.409382448588076
922, 16.445385781595178
923, 47.718719104006595
924, 57.84987184694546
925, 44.32789338068869
926, 38.40956601850121
927, 46.87831461123096
928, 57.86368934656639
929, 69.27136543231427
930, 77.81143242943472
931, 85.00509377372691
932, 93.58970695505559
933, 88.71500725974147
934, 55.17438474793562
935, 18.039895834657727
936, -4.541832174742012
937, -15.560472332488644
938, -15.344484632292733
939, 8.05223769942495
940, 53.35095349727453
941, 76.99331800496293
942, 78.51136191047408
943, 84.17218606898678
944, 87.6451755547314
945, 67.18051906078472
946, 38.01347533394801
947, 25.454566093285393
948, 15.442306229200767
949, -8.700029738864032
950, -24.572373837443592
951, -20.22545213484773
952, -12.944460887543755
953, -6.547111822899751
954, 17.07214060366823
955, 55.39713910588034
956, 62.74069792573755
957, 44.588515256173196
958, 35.486577174819104
959, 33.128146865688905
960, 28.720991907728603
961, 21.82505825307453
962, 12.181433812578689
963, 1.875925036982153
964, -8.817390438263828
965, -4.869646174121954
966, 17.32951108792986
967, 25.371182457431132
968, 14.186499765364715
969, 0.4505954122123512
970, -11.519343436533745
971, -17.135202060644588
972, -15.40665705347783
973, -4.012227154393258
974, 4.198514590845662
975, -5.207083837738537
976, -9.73298932031139
977, 3.8871284971719433
978, 15.665151535897166
979, 18.60206687550817
980, 25.07457165460619
981, 35.892535223527375
982, 42.23259199924905
983, 43.54709954954524
984, 41.21507459804707
985, 28.74493202238409
986, -4.028228175891854
987, -34.29677848488609
988, -44.943319883668664
989, -37.83525684900087
990, -14.549009883277904
991, 4.850222371398559
992, 15.698930483233198
993, 18.362095144593695
994, 21.850377181883232
995, 55.04521770643987
996, 111.3191616868753
997, 162.6338107853262
998, 196.65430321702115
999, 201.357738891189
1000, 186.51998083092258
1001, 159.59266351565384
1002, 147.62269652660143
1003, 152.95139758842924
1004, 134.70467778328748
1005, 90.16452764332098
1006, 34.87714561580651
1007, -13.509981640914702
1008, -34.94684362037515
1009, -31.140542087319773
1010, -2.369510669092051
1011, 30.21308415961539
1012, 56.0098984660126
1013, 67.58882888214066
1014, 65.5680441079221
1015, 61.99873387143816
1016, 55.46414397803346
1017, 35.032468468107254
1018, 16.19484898344308
1019, 19.574747614893568
1020, 40.857761706041856
1021, 77.13027500292446
1022, 111.4184419214962
1023, 135.37851862609023
1024, 127.60582426714427
1025, 88.77670748384662
1026, 49.815216531407714
1027, 19.906237856155713
1028, 14.136312080856442
1029, 16.8605952014168
1030, 6.673599978978018
1031, -9.530550322580893
1032, -26.818552372475096
1033, -29.667205909179756
1034, -15.057221356753871
1035, -2.9625701739278156
1036, 2.5560055635942263
1037, -1.9384906849372783
1038, -11.509279688476454
1039, -16.648049461717164
1040, -8.481684673974087
1041, 20.77484728287891
1042, 29.706939808897005
1043, 3.172290004178649
1044, -16.34161777496047
1045, -22.205198112385915
1046, -21.959870869070073
1047, -17.605795620551362
1048, -11.418305358058205
1049, -12.710089275369683
1050, -31.77660154530531
1051, -42.93513660681492
1052, -34.527010909741875
1053, -27.84334521416349
1054, -27.882535766293586
1055, -32.69023870402634
1056, -42.660473263411404
1057, -59.18141879302675
1058, -70.61557910775082
1059, -62.882125550651836
1060, -58.41463354409825
1061, -67.54463013088025
1062, -65.45440653692458
1063, -45.54032608531634
1064, -9.936134214198319
1065, 47.00954075080335
1066, 137.1163423970338
1067, 253.21008022727074
1068, 388.4281423470111
1069, 569.0317422924181
1070, 761.07296643882
1071, 944.6741753378774
1072, 1112.9516994428595
1073, 1258.741077416822
1074, 1380.6342901750031
1075, 1477.4122849922333
1076, 1534.5945934998217
1077, 1537.6131372450982
1078, 1477.6440945716731
