a,b
320, -3.316973901809888
321, -4.298925680674984
322, -7.32843200640491
323, -10.410364416733955
324, -10.036049792468475
325, 0.5394560213594559
326, 18.001756930288593
327, 24.930970093606902
328, 20.678285503089228
329, 15.633677660904596
330, 12.477212543900805
331, 15.465156827493047
332, 26.546842900656884
333, 41.422283043223615
334, 56.61137121290676
335, 70.75734125442796
336, 80.15379931280268
337, 85.00382514433204
338, 87.89240022282365
339, 89.28256432456419
340, 89.52457879276335
341, 88.74985974377114
342, 86.021595468746
343, 80.56895745660177
344, 75.9925783069516
345, 78.95928907739699
346, 87.7336467225864
347, 94.9477041090122
348, 99.75460597384836
349, 101.2041808402214
350, 99.26513904938793
351, 101.8363993639864
352, 112.98788106950587
353, 125.90957485058016
354, 132.8911686234719
355, 133.53610291534415
356, 126.91070062994504
357, 114.21693154527475
358, 101.73459273809567
359, 90.82029660623175
360, 87.74923011663941
361, 94.30581093230239
362, 99.36789899336554
363, 95.94757515868014
364, 86.88536226473298
365, 76.06990099941459
366, 65.79529832081744
367, 62.40469254409754
368, 64.72518386124011
369, 63.667445488369594
370, 57.97499856779541
371, 51.16225935683133
372, 44.46611441015557
373, 41.594283702460416
374, 45.10230010010855
375, 47.44313876523438
376, 37.51858103661334
377, 19.911471164323302
378, 8.322896496726116
379, 3.641094015791168
380, 0.3767285559388256
381, -2.1353889637375687
382, 3.8097095607663505
383, 21.374459685085185
384, 30.84135551722511
385, 19.117906418258826
386, -0.16801424475215754
387, -7.780923602574148
388, -7.026064445037264
389, -5.21191301158342
390, -3.1365066280286555
391, -3.639370657174368
392, -7.122072396330168
393, -12.425628482383217
394, -19.48170337329384
395, -20.412618391854267
396, -10.1866364267662
397, 4.311090505077573
398, 14.515947484839216
399, 18.889938726372748
400, 13.884391522874921
401, 1.5970086857905699
402, -7.755146785887973
403, -13.366833757080713
404, -10.654035763315278
405, 1.5479986763775742
406, 11.876701054045952
407, 15.404771246568998
408, 21.795212466276553
409, 40.164282080364956
410, 69.49692738507747
411, 100.69694867973521
412, 131.03793828968765
413, 151.83855903575795
414, 163.34270347617485
415, 171.5356935787986
416, 178.3838705679559
417, 197.657959310141
418, 233.82952260982347
419, 271.57203951789006
420, 301.35616624718614
421, 322.1848842088907
422, 332.85957843865754
423, 334.3737730471039
424, 328.93997258375066
425, 319.1700054472558
426, 315.2771524980203
427, 315.38863239478405
428, 296.08236257154476
429, 253.974180608579
430, 222.38974432188024
431, 214.26041449150898
432, 213.3357282713232
433, 208.19695001329546
434, 195.68733919632905
435, 171.6115419641028
436, 136.5154975950113
437, 91.7444277496761
438, 42.79378070782286
439, 16.889614332792007
440, 11.838292257372814
441, 9.46480783118841
442, 5.71306466490978
443, 1.3467794567086457
444, -3.545343818558649
445, -0.08744508691415831
446, 18.42434082755699
447, 41.55775742474498
448, 56.29062481219216
449, 62.68639941413676
450, 60.96822226474751
451, 54.77941330517842
452, 57.796514348692654
453, 69.24090382568193
454, 74.81385203829132
455, 71.74249323310005
456, 59.009466784306824
